sku,product_name,product_category,product_subcategory,image_file,image_path,cdn_path,image_url,match_type,assignment_source
SAND-SUPR-VEG-ZAP-ZAN-CEB-PIM-POR-IND,"Suprema Individual de Zapallo Italiano, Zanahoria, Cebolla, Pimentón Salteado, Porotos Negros, con Salsa.",sandwich,Papas Fritas,sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-VEG-ZAP-ZAN-CEB-PIM-POR-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-VEG-ZAP-ZAN-CEB-PIM-POR-MED,"Suprema Mediana de Zapallo Italiano, Zanahoria, Cebolla, Pimentón Salteado, Porotos Negros, con Salsa.",sandwich,Papas Fritas,sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-VEG-ZAP-ZAN-CEB-PIM-POR-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-VIE16-CHAC,Vienesa Chacarero,sandwich,Vienesas 16 cm,vienesa_chacarero.webp,imagenes-yakero/sandwich/Vienesas 16 cm/vienesa_chacarero.png,products/sandwich/vienesas-16-cm/vienesa_chacarero.webp,https://cdn.yakero.cl/products/sandwich/vienesas-16-cm/vienesa_chacarero.webp,name_exact,audit_csv
SAND-VIE16-COMP,Vienesa Completo,sandwich,Vienesas 16 cm,vienesa_completo.webp,imagenes-yakero/sandwich/Vienesas 16 cm/vienesa_completo.png,products/sandwich/vienesas-16-cm/vienesa_completo.webp,https://cdn.yakero.cl/products/sandwich/vienesas-16-cm/vienesa_completo.webp,name_exact,audit_csv
SAND-VIE16-DINA,Vienesa Dinámico,sandwich,Vienesas 16 cm,vienesa_dinamico.webp,imagenes-yakero/sandwich/Vienesas 16 cm/vienesa_dinamico.png,products/sandwich/vienesas-16-cm/vienesa_dinamico.webp,https://cdn.yakero.cl/products/sandwich/vienesas-16-cm/vienesa_dinamico.webp,name_exact,audit_csv
SAND-VIE16-ITAL,Vienesa Italiano,sandwich,Vienesas 16 cm,vienesa_italiano.webp,imagenes-yakero/sandwich/Vienesas 16 cm/vienesa_italiano.png,products/sandwich/vienesas-16-cm/vienesa_italiano.webp,https://cdn.yakero.cl/products/sandwich/vienesas-16-cm/vienesa_italiano.webp,name_exact,audit_csv
SAND-VIE16-LUCO-CHAM,"Vienesa Luco, Champiñón",sandwich,Vienesas 16 cm,vienesa_luco_champinon.webp,imagenes-yakero/sandwich/Vienesas 16 cm/vienesa_luco_champinon.png,products/sandwich/vienesas-16-cm/vienesa_luco_champinon.webp,https://cdn.yakero.cl/products/sandwich/vienesas-16-cm/vienesa_luco_champinon.webp,name_exact,audit_csv
SAND-VIE16-SOLA,Vienesa Sola,sandwich,Vienesas 16 cm,vienesa_sola.webp,imagenes-yakero/sandwich/Vienesas 16 cm/vienesa_sola.png,products/sandwich/vienesas-16-cm/vienesa_sola.webp,https://cdn.yakero.cl/products/sandwich/vienesas-16-cm/vienesa_sola.webp,name_exact,audit_csv
SUSHI-ENT-CAM-FURAY,Camarones Furay,sushi,Entradas,camarones-furay.webp,imagenes-yakero/sushi/entradas/Camarones Furay.png,products/sushi/entradas/camarones-furay.webp,https://cdn.yakero.cl/products/sushi/entradas/camarones-furay.webp,name_exact,audit_csv
SUSHI-ENT-CEVI-SAL-CAM,Ceviche de Salmón y Camarones,sushi,Entradas,ceviche-de-salmon-y-camarones.webp,imagenes-yakero/sushi/entradas/Ceviche de Salmon y Camarones.png,products/sushi/entradas/ceviche-de-salmon-y-camarones.webp,https://cdn.yakero.cl/products/sushi/entradas/ceviche-de-salmon-y-camarones.webp,name_exact,audit_csv
SUSHI-ENT-GYOZAS,Gyozas,sushi,Entradas,gyozas.webp,imagenes-yakero/sushi/entradas/Gyozas.png,products/sushi/entradas/gyozas.webp,https://cdn.yakero.cl/products/sushi/entradas/gyozas.webp,name_exact,audit_csv
SUSHI-ENT-POL-FURAY,Pollo Furay,sushi,Entradas,pollo-furay.webp,imagenes-yakero/sushi/entradas/Pollo Furay.png,products/sushi/entradas/pollo-furay.webp,https://cdn.yakero.cl/products/sushi/entradas/pollo-furay.webp,name_exact,audit_csv
